Country,Measure,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total_arrivals_sum
Madagascar,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282.00,333.00,285.00,360.00,486.00,87.10,1833.10
Malawi,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Malaysia,Total arrivals,Thousands,17213.00,22995.00,20756.00,16293.00,24432.00,24209.00,25298.00,28325.00,25321.00,31509.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35046.00,6102.00,277499.00
Maldives,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mali,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Malta,Total arrivals,Thousands,1387.00,1439.00,1483.00,1512.00,1428.00,1484.00,1521.00,1723.00,1832.00,1608.00,1815.00,1916.00,2007.00,2013.00,2162.00,2383.00,2592.00,2944.00,3232.00,3519.00,718.00,40718.00
Mauritania,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mauritius,Total arrivals,Thousands,678.00,675.00,709.00,721.00,739.00,782.00,807.00,933.00,970.00,890.00,956.00,983.00,984.00,1015.00,1065.00,1174.00,1307.00,1371.00,1431.00,1418.00,316.00,19924.00
Mexico,Total arrivals,Thousands,105673.00,100718.00,100153.00,92330.00,99250.00,103146.00,97701.00,93582.00,92948.00,88044.00,81953.00,75732.00,76749.00,78100.00,81042.00,87129.00,94853.00,99349.00,96497.00,97406.00,51128.00,1893483.00
Moldova,Total arrivals,Thousands,19.00,15.70,20.20,23.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.50
Monaco,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mongolia,Total arrivals,Thousands,158.00,192.00,235.00,205.00,305.00,345.00,408.00,455.00,469.00,465.00,557.00,627.00,624.00,515.00,506.00,467.00,471.00,543.00,598.00,637.00,66.90,8848.90
